児童生徒,次数中心性,媒介中心性,固有ベクトル中心性
s1,0.067,0.051,0.087
s2,0.033,0.000,0.068
s3,0.067,0.097,0.043
s4,0.067,0.051,0.075
s5,0.133,0.087,0.391
s6,0.000,0.000,0.000
s7,0.100,0.016,0.272
s8,0.000,0.000,0.000
s9,0.067,0.009,0.164
s10,0.100,0.182,0.122
s11,0.033,0.000,0.005
s12,0.033,0.000,0.060
s13,0.100,0.126,0.250
s14,0.033,0.000,0.060
s15,0.033,0.000,0.000
s16,0.033,0.000,0.170
s17,0.033,0.000,0.039
s18,0.033,0.000,0.000
s19,0.233,0.434,0.539
s20,0.100,0.221,0.305
s21,0.033,0.000,0.000
s22,0.100,0.034,0.305
s23,0.000,0.000,0.000
s24,0.067,0.051,0.015
s25,0.067,0.051,0.189
s26,0.033,0.000,0.000
s27,0.067,0.051,0.189
s28,0.033,0.000,0.028
s29,0.033,0.000,0.024
s30,0.100,0.143,0.215
s31,0.033,0.000,0.123